time_s,amcl_x,amcl_y,left_velocity_cmd,right_velocity_cmd,real_left_velocity,real_right_velocity,voltage
0.0,,,0.0000,-0.0000,0.0000,0.0000,50.8978
0.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
1.0,,,0.0000,-0.0000,0.0000,0.0000,50.8519
1.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
2.0,,,0.0000,-0.0000,0.0000,0.0000,50.8060
2.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
3.0,,,0.0000,-0.0000,0.0000,0.0000,50.8060
3.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
4.0,,,0.0000,-0.0000,0.0000,-0.0153,50.8672
4.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
5.0,,,0.0000,-0.0000,0.0000,-0.0076,50.8672
5.5,,,0.0000,-0.0000,0.0000,-0.0076,50.9131
6.0,,,0.0000,-0.0000,0.0000,0.0229,50.8213
6.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
7.0,,,0.0000,-0.0000,0.0000,-0.0076,50.8366
7.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
8.0,,,0.0000,-0.0000,0.0000,0.0000,50.8672
8.5,,,0.0000,-0.0000,0.0153,0.0000,50.8366
9.0,,,0.0000,-0.0000,0.0000,0.0000,50.8213
9.5,,,0.0000,-0.0000,0.0000,0.0000,50.8825
10.0,,,0.0000,-0.0000,0.0000,0.0000,50.8672
10.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
11.0,,,0.0000,-0.0000,0.0000,0.0000,50.8366
11.5,,,0.0000,-0.0000,0.0000,0.0000,50.8213
12.0,,,0.0000,-0.0000,0.0000,0.0000,50.8825
12.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
13.0,,,0.0000,-0.0000,0.0000,0.0000,50.8519
13.5,,,0.0000,-0.0000,0.0000,0.0000,50.8519
14.0,,,0.0000,-0.0000,0.0000,0.0000,50.8366
14.5,,,0.0000,-0.0000,0.0000,0.0000,50.8366
15.0,,,0.0000,-0.0000,0.0000,0.0000,50.8213
15.5,,,0.0000,-0.0000,-0.0687,0.0534,50.8213
16.0,,,0.0000,-0.0000,-0.5341,0.5646,50.8060
16.5,-0.1300,-0.0002,0.0000,-0.0000,-0.9537,0.9460,50.8825
17.0,-0.2793,-0.0007,0.0000,-0.0000,-0.3281,0.2747,50.8672
17.5,-0.4157,-0.0092,0.0000,-0.0000,0.4501,-0.4120,50.8213
18.0,-0.4157,-0.0092,0.0000,-0.0000,0.8011,-0.9384,50.8060
18.5,-0.2992,-0.0042,0.0000,-0.0000,0.4959,-0.5493,50.8672
19.0,-0.0522,0.0137,0.0000,-0.0000,0.0458,0.0153,50.8672
19.5,-0.0522,0.0137,0.0000,-0.0000,-0.0458,0.0076,50.8672
20.0,-0.0522,0.0137,0.0000,-0.0000,-0.0458,-0.0305,50.8519
20.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
21.0,-0.0522,0.0137,0.0000,-0.0000,-0.0305,0.0000,50.8366
21.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8060
22.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
22.5,-0.0522,0.0137,0.0000,-0.0000,-0.0076,0.0076,50.8978
23.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
23.5,-0.0522,0.0137,0.0000,-0.0000,-0.0229,0.0000,50.8519
24.0,-0.0522,0.0137,0.0000,-0.0000,-0.0305,-0.0229,50.8672
24.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8060
25.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8366
25.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
26.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
26.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.9438
27.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
27.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
28.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
28.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
29.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
29.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8366
30.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
30.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8213
31.0,-0.0522,0.0137,0.0000,-0.0000,0.0229,0.0000,50.8519
31.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
32.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
32.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0229,50.8213
33.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
33.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8825
34.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8519
34.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8366
35.0,-0.0522,0.0137,0.0000,-0.0000,0.0229,0.0000,50.7907
35.5,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8213
36.0,-0.0522,0.0137,0.0000,-0.0000,0.0000,0.0000,50.8672
36.5,-0.0522,0.0137,0.1108,-0.0732,0.0000,0.0000,50.8672
37.0,-0.0522,0.0137,0.1371,-0.0469,-0.0076,0.0000,50.8672
37.5,-0.0522,0.0137,0.1370,-0.0469,0.0000,0.0000,50.8366
38.0,-0.0522,0.0137,0.1370,-0.0470,0.0000,0.0000,50.8366
38.5,-0.0522,0.0137,0.1408,-0.0482,0.0076,0.0000,50.8060
39.0,-0.0522,0.0137,0.1431,-0.0487,0.0076,0.0000,50.8519
39.5,-0.0522,0.0137,0.1518,-0.0505,0.0000,-0.0305,50.8519
40.0,-0.0522,0.0137,0.1659,-0.0527,-0.0076,-0.0458,50.8519
40.5,-0.0522,0.0137,0.2022,-0.0712,0.0534,-0.0610,50.8366
41.0,-0.0522,0.0137,0.3396,-0.1199,0.2747,-0.1678,50.8825
41.5,0.0480,0.0176,0.4605,-0.1588,0.2975,-0.1907,50.8519
42.0,0.1283,0.0242,0.5815,-0.2374,0.5798,-0.1831,50.8519
42.5,0.2409,0.0124,0.6915,-0.3468,0.7248,-0.2166,50.8060
43.0,0.3506,-0.0469,0.7516,-0.4781,0.7935,-0.3738,50.8672
43.5,0.5330,-0.1403,0.8267,-0.6475,0.8240,-0.5875,50.8060
44.0,0.6045,-0.2293,0.9066,-0.8217,0.8698,-0.8011,50.8519
44.5,0.7465,-0.4809,0.9886,-0.9980,0.9384,-0.9689,50.8366
45.0,0.9109,-0.7470,1.0805,-1.1842,1.0452,-1.2054,50.8519
45.5,0.8982,-0.8671,1.1850,-1.3037,1.1139,-1.3428,50.8366
46.0,1.1666,-1.1282,1.3844,-1.3993,1.3046,-1.4114,50.8366
46.5,1.3992,-1.2875,1.5508,-1.4715,1.4496,-1.4190,50.8366
47.0,1.9041,-1.6100,1.6439,-1.5320,1.7090,-1.4801,50.8366
47.5,2.1544,-1.8534,1.6183,-1.4630,1.7471,-1.5030,50.8672
48.0,2.4978,-2.2815,1.6738,-1.4590,1.6556,-1.4343,50.8825
48.5,2.6814,-2.6098,1.5581,-1.3921,1.6785,-1.4267,50.8672
49.0,2.8431,-3.1009,1.4456,-1.3632,1.5182,-1.3504,50.8060
49.5,2.8800,-3.4284,1.2270,-1.1538,1.3428,-1.3351,50.9131
50.0,2.9025,-3.8774,0.7523,-0.7091,1.0071,-0.9308,50.7754
50.5,2.9098,-4.1259,0.2889,-0.2523,0.5264,-0.4425,50.8519
51.0,2.8989,-4.3668,0.0118,0.0118,0.0839,-0.0305,50.8978
51.5,2.8989,-4.3668,0.0003,0.0003,0.0839,-0.0305,50.8519
52.0,2.8989,-4.3668,-0.0098,-0.0098,0.0839,-0.0305,50.8213
52.5,2.8989,-4.3668,-0.0175,-0.0175,0.0076,0.0000,50.8519
53.0,2.8989,-4.3668,-0.0232,-0.0232,0.0000,0.0000,50.8366
53.5,2.8989,-4.3668,-0.0274,-0.0274,0.0000,0.0000,50.8060
54.0,2.8989,-4.3668,-0.0306,-0.0306,0.0000,0.0000,50.8213
54.5,2.8989,-4.3668,-0.0330,-0.0330,0.0000,0.0000,50.7907
55.0,2.8989,-4.3668,-0.0349,-0.0349,0.0000,0.0000,50.8978
55.5,2.8989,-4.3668,-0.0362,-0.0362,0.0000,0.0000,50.9438
56.0,2.8989,-4.3668,-0.0372,-0.0372,0.0000,0.0000,50.8672
56.5,2.8989,-4.3668,-0.0380,-0.0380,0.0000,0.0000,50.8672
57.0,2.8989,-4.3668,-0.0390,-0.0390,0.0000,0.0000,50.8060
57.5,2.8989,-4.3668,-0.0427,-0.0427,0.0000,-0.0458,50.8366
58.0,2.8989,-4.3668,-0.0502,-0.0502,-0.0153,-0.0610,50.8366
58.5,2.8989,-4.3668,-0.0561,-0.0561,-0.0153,-0.0610,50.8366
59.0,2.9013,-4.4408,-0.0620,-0.0620,-0.0153,-0.0610,50.8519
59.5,2.9013,-4.4408,-0.0660,-0.0660,-0.0153,-0.0610,50.9438
60.0,2.9049,-4.4569,-0.0713,-0.0713,-0.0153,-0.0610,50.7601
60.5,2.9049,-4.4569,-0.0725,-0.0725,-0.0153,-0.0610,50.8366
61.0,2.9095,-4.4743,-0.0785,-0.0785,-0.0610,-0.0534,50.8213
61.5,2.9139,-4.4791,-0.0907,-0.0907,-0.0839,-0.0992,50.8519
62.0,2.9223,-4.4761,-0.1020,-0.1020,-0.1068,-0.0916,50.8366
62.5,2.9257,-4.4771,-0.1126,-0.1126,-0.1068,-0.1068,50.8366
63.0,2.9302,-4.4718,-0.1170,-0.1170,-0.1068,-0.1068,50.8366
63.5,2.9339,-4.4905,-0.1157,-0.1157,-0.1068,-0.1068,50.8213
64.0,2.9327,-4.4869,-0.1177,-0.1177,-0.1068,-0.1068,50.8672
64.5,2.9372,-4.4869,-0.1288,-0.1288,-0.1144,-0.1221,50.8672
65.0,2.9434,-4.4850,-0.1376,-0.1376,-0.1144,-0.1297,50.9438
65.5,2.9471,-4.4846,-0.1451,-0.1451,-0.1144,-0.1297,50.8366
66.0,2.9479,-4.4803,-0.1038,-0.1038,-0.0153,-0.0153,50.8366
66.5,2.9479,-4.4803,-0.0566,-0.0566,-0.0076,-0.0076,50.8519
67.0,2.9479,-4.4803,-0.0133,-0.0133,0.0000,-0.0076,50.8060
67.5,2.9479,-4.4803,0.0003,0.0003,0.0000,0.0000,50.8213
68.0,2.9479,-4.4803,0.0103,0.0103,0.0000,0.0000,50.8060
68.5,2.9479,-4.4803,0.0178,0.0178,0.0000,0.0000,50.8519
69.0,2.9479,-4.4803,0.0234,0.0234,0.0000,0.0000,50.8519
69.5,2.9479,-4.4803,0.0276,0.0276,0.0000,0.0000,50.8519
70.0,2.9479,-4.4803,0.0308,0.0308,0.0000,0.0000,50.8519
70.5,2.9479,-4.4803,0.0331,0.0331,-0.0076,0.0000,50.8366
71.0,2.9479,-4.4803,0.0349,0.0349,0.0000,0.0000,50.8519
71.5,2.9479,-4.4803,0.0362,0.0362,0.0000,0.0000,50.8366
